取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),交通系電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
RB0120170901180057000,2017/09/01,19:14:51,4310,4050,319,0,0,0,0,0,0,0,0,4310,0,0,-8,1,10,01:13:54,"カウンター1",0002,"中山","ビール","グラス生","","",350,1,0,0,-,0,EA9E0D5980414BDF997C9CCB89AD91A3,"未設定"
RB0120170901180057000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,2,0,0,-,0,EA9E0D5980414BDF997C9CCB89AD91A3,
RB0120170901180057000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,2,0,0,-,0,EA9E0D5980414BDF997C9CCB89AD91A3,
RB0120170901180057000,,,,,,,,,,,,,,,,,,,,,,,,"割り物","割り物&BS","","",380,1,0,0,-,0,EA9E0D5980414BDF997C9CCB89AD91A3,
RB0120170901180057000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","越乃景虎 名水仕込特別純米","","",680,1,0,0,-,0,EA9E0D5980414BDF997C9CCB89AD91A3,
RB0120170901180057000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,1,0,0,-,0,EA9E0D5980414BDF997C9CCB89AD91A3,
RB0120170901180057000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","本日のおすすめ","","",780,2,0,0,-,0,EA9E0D5980414BDF997C9CCB89AD91A3,
000220170901192231212,2017/09/01,19:22:42,900,900,66,0,0,0,0,0,0,0,0,900,0,0,0,1,1,00:00:00,"伝票00020550",0002,"中山","出前","コスモ","","",900,1,0,0,-,0,1A456AF922C44FC0A1198A846B8842FF,"未設定"
000220170901193008795,2017/09/01,19:41:18,3000,3000,222,3000,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00020551",0002,"中山","出前","出前3000","","",3000,1,0,0,-,0,EC94EAAB455A4A19BA0DBBDEA1048A4C,"未設定"
RB0120170901174521000,2017/09/01,20:03:51,24390,23750,1806,30000,0,0,0,0,0,0,0,0,5610,0,0,3,19,02:18:30,"テーブル2",0002,"中山","ビール","生ビール","","",500,16,0,0,-,0,E58638363AFE42BDA3CEF7F72F74EE26,"未設定"
RB0120170901174521000,,,,,,,,,,,,,,,,,,,,,,,,"コース","雅(みやび)","","",5250,3,0,0,-,0,E58638363AFE42BDA3CEF7F72F74EE26,
RB0120170901184139000,2017/09/01,20:11:40,9060,8980,671,0,0,0,0,0,0,0,0,9060,0,0,0,2,5,01:30:01,"テーブル1",0002,"中山","ソフトドリンク","ウーロン茶","","",250,2,0,0,-,0,A25610907F3D4AEB8DE43ABA5B5530A9,"未設定"
RB0120170901184139000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,1,0,0,-,0,A25610907F3D4AEB8DE43ABA5B5530A9,
RB0120170901184139000,,,,,,,,,,,,,,,,,,,,,,,,"コース","集(つどい)","","",3990,2,0,0,-,0,A25610907F3D4AEB8DE43ABA5B5530A9,
RB0120170901201705000,2017/09/01,20:18:35,6560,6250,485,10060,0,0,0,0,0,0,0,0,3500,0,-8,1,14,00:01:30,"カウンター6",0002,"中山","お好みにぎり","にぎり130","","",130,1,0,0,-,0,B5ECA71680C748ECB1E3250A8F7B2E48,"未設定"
RB0120170901201705000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,1,0,0,-,0,B5ECA71680C748ECB1E3250A8F7B2E48,
RB0120170901201705000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,2,0,0,-,0,B5ECA71680C748ECB1E3250A8F7B2E48,
RB0120170901201705000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,4,0,0,-,0,B5ECA71680C748ECB1E3250A8F7B2E48,
RB0120170901201705000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","レモンサワー","","",380,1,0,0,-,0,B5ECA71680C748ECB1E3250A8F7B2E48,
RB0120170901201705000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","出羽桜 桜花 吟醸","","",780,1,0,0,-,0,B5ECA71680C748ECB1E3250A8F7B2E48,
RB0120170901201705000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,1,0,0,-,0,B5ECA71680C748ECB1E3250A8F7B2E48,
RB0120170901201705000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",880,1,0,0,-,0,B5ECA71680C748ECB1E3250A8F7B2E48,
RB0120170901201705000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",780,2,0,0,-,0,B5ECA71680C748ECB1E3250A8F7B2E48,
RB0120170901201913000,2017/09/01,20:37:24,3170,2940,234,3170,0,0,0,0,0,0,0,0,0,0,-5,1,5,00:18:10,"カウンター2",0002,"中山","ビール","生ビール","","",500,1,0,0,-,0,3B6D4FACE07E49459CE5308C7109E0B3,"未設定"
RB0120170901201913000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","おすすめ日本酒","","",680,1,0,0,-,0,3B6D4FACE07E49459CE5308C7109E0B3,
RB0120170901201913000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,1,0,0,-,0,3B6D4FACE07E49459CE5308C7109E0B3,
RB0120170901201913000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",780,1,0,0,-,0,3B6D4FACE07E49459CE5308C7109E0B3,
RB0120170901201913000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",600,1,0,0,-,0,3B6D4FACE07E49459CE5308C7109E0B3,
RB0120170901201920000,2017/09/01,20:52:57,5220,4840,386,10220,0,0,0,0,0,0,0,0,5000,0,-7,1,5,00:33:36,"カウンター9",0002,"中山","ビール","生ビール","","",500,1,0,0,-,0,A8E55390C9BF4EB69D069EFAF95D7057,"未設定"
RB0120170901201920000,,,,,,,,,,,,,,,,,,,,,,,,"ウイスキー","ニッカW","","",680,1,0,0,-,0,A8E55390C9BF4EB69D069EFAF95D7057,
RB0120170901201920000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,1,0,0,-,0,A8E55390C9BF4EB69D069EFAF95D7057,
RB0120170901201920000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","おまかせ8貫","","",2500,1,0,0,-,0,A8E55390C9BF4EB69D069EFAF95D7057,
RB0120170901201920000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","本日のおすすめ","","",780,1,0,0,-,0,A8E55390C9BF4EB69D069EFAF95D7057,
RB0120170901184154000,2017/09/01,21:16:01,12060,11170,893,12100,0,0,0,0,0,0,0,0,40,0,-3,3,19,02:34:07,"テーブル6",0002,"中山","焼き物","げそ七味焼","","",650,1,0,0,-,0,79F8893907E84035BB40E96C79F80161,"未設定"
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","かきバター焼","","",780,1,0,0,-,0,79F8893907E84035BB40E96C79F80161,
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","特上にぎり","","",1850,1,0,0,-,0,79F8893907E84035BB40E96C79F80161,
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"サラダ","シーフードサラダ","","",880,1,0,0,-,0,79F8893907E84035BB40E96C79F80161,
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","グラス生","","",350,1,0,0,-,0,79F8893907E84035BB40E96C79F80161,
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,2,0,0,-,0,79F8893907E84035BB40E96C79F80161,
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"ウイスキー","ニッカS","","",380,1,0,0,-,0,79F8893907E84035BB40E96C79F80161,
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","緑茶ハイ","","",380,3,0,0,-,0,79F8893907E84035BB40E96C79F80161,
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","梅酒","","",380,3,0,0,-,0,79F8893907E84035BB40E96C79F80161,
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,3,0,0,-,0,79F8893907E84035BB40E96C79F80161,
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","本日のおすすめ","","",980,1,0,0,-,0,79F8893907E84035BB40E96C79F80161,
RB0120170901184154000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","本日のおすすめ","","",880,1,0,0,-,0,79F8893907E84035BB40E96C79F80161,
000220170901212728516,2017/09/01,21:27:44,2500,2500,185,2500,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00020552",0002,"中山","出前","出前(特選にぎり)","","",2500,1,0,0,-,0,47ED55370A4A4FE2B65CF73FEB7BF91C,"未設定"
RB0120170901201939000,2017/09/01,21:31:55,10440,10280,773,10440,0,0,0,0,0,0,0,0,0,0,-7,3,58,01:12:16,"テーブル4",0002,"中山","ソフトドリンク","ウーロン茶","","",250,4,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,"未設定"
RB0120170901201939000,,,,,,,,,,,,,,,,,,,,,,,,"ソフトドリンク","コーラ","","",250,1,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,
RB0120170901201939000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,20,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,
RB0120170901201939000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,20,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,
RB0120170901201939000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,2,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,
RB0120170901201939000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,6,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,
RB0120170901201939000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり420","","",420,1,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,
RB0120170901201939000,,,,,,,,,,,,,,,,,,,,,,,,"汁物","海老頭汁","","",280,1,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,
RB0120170901201939000,,,,,,,,,,,,,,,,,,,,,,,,"汁物","岩のり汁","","",280,1,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,
RB0120170901201939000,,,,,,,,,,,,,,,,,,,,,,,,"汁物","しじみ汁","","",280,1,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,
RB0120170901201939000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,1,0,0,-,0,18475C8F8E754698A9B6A8E1C1321573,
RB0120170901190626000,2017/09/01,21:40:17,20000,20000,1481,20000,0,0,0,0,0,0,0,0,0,0,0,4,4,02:33:51,"小部屋",0002,"中山","コース","寿(ことぶき)_飲み放題付","","",5000,4,0,0,-,0,D507BF5831CE4B5AA7FABB5CE1CB6E04,"未設定"
RB0120170901201935000,2017/09/01,21:45:56,7110,6830,526,7110,0,0,0,0,0,0,0,0,0,0,-8,2,20,01:26:21,"テーブル5",0002,"中山","焼き物","大エビ塩焼","","",1200,1,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,"未設定"
RB0120170901201935000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","イカうに焼","","",780,1,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,
RB0120170901201935000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,2,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,
RB0120170901201935000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,2,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,
RB0120170901201935000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,2,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,
RB0120170901201935000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,1,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,
RB0120170901201935000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,4,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,
RB0120170901201935000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,3,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,
RB0120170901201935000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","グレープフルーツサワー","","",380,1,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,
RB0120170901201935000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","生レモンサワー","","",480,1,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,
RB0120170901201935000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,12CCF55CB6E74C2CA5A58AE7FCA94538,
RB0120170901174531000,2017/09/01,21:55:21,22730,21080,1683,0,0,0,0,0,0,0,0,22730,0,0,-2,3,31,04:09:50,"テーブル3",0002,"中山","お造り","おまかせ刺身盛","","",2900,1,0,0,-,0,1675A88A6A5B454DBF7B325532861618,"未設定"
RB0120170901174531000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","穴子白焼","","",1200,1,0,0,-,0,1675A88A6A5B454DBF7B325532861618,
RB0120170901174531000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","焼明太子","","",780,1,0,0,-,0,1675A88A6A5B454DBF7B325532861618,
RB0120170901174531000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物","たこ唐揚","","",650,1,0,0,-,0,1675A88A6A5B454DBF7B325532861618,
RB0120170901174531000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","上にぎり","","",1350,1,0,0,-,0,1675A88A6A5B454DBF7B325532861618,
RB0120170901174531000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","ばくだん納豆","","",1000,1,0,0,-,0,1675A88A6A5B454DBF7B325532861618,
RB0120170901174531000,,,,,,,,,,,,,,,,,,,,,,,,"速一品","お新香盛り","","",650,1,0,0,-,0,1675A88A6A5B454DBF7B325532861618,
RB0120170901174531000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","茶碗蒸し","","",500,2,0,0,-,0,1675A88A6A5B454DBF7B325532861618,
RB0120170901174531000,,,,,,,,,,,,,,,,,,,,,,,,"ソフトドリンク","ウーロン茶","","",250,3,0,0,-,0,1675A88A6A5B454DBF7B325532861618,
