取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),交通系電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
000220170601185600350,2017/06/01,18:56:14,900,900,66,0,0,0,0,0,0,0,0,900,0,0,0,1,1,00:00:00,"伝票00020533",0002,"中山","出前","コスモ","","",900,1,0,0,-,0,D26926EF82CB4DE0A4E7426591C10D87,"未設定"
RB0120170601180409000,2017/06/01,19:47:03,12750,11960,944,20000,0,0,0,0,0,0,0,0,7250,0,-7,2,25,01:42:54,"テーブル3",0002,"中山","お造り","真つぶ貝刺","","",900,1,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,"未設定"
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","赤身刺","","",780,1,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","しまあじ刺","","",780,2,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","かぶと焼","","",780,1,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","レンコンはさみ揚","","",650,1,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","イカうに焼","","",780,1,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,5,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,2,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,2,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,2,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,3,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","緑茶ハイ","","",380,1,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601180409000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","平目刺し","","",880,1,0,0,-,0,15EE86555A994611B31A2FD03FFE76C7,
RB0120170601190125000,2017/06/01,20:08:39,8530,8100,631,10000,0,0,0,0,0,0,0,0,1470,0,-6,2,20,01:07:13,"テーブル4",0002,"中山","焼き物","ホタテ磯焼","","",780,1,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,"未設定"
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","ばくだん納豆","","",1000,1,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","アサヒ中瓶","","",500,1,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,1,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,3,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,1,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,1,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,3,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"汁物","岩のり汁","","",280,1,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,1,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","緑茶ハイ","","",380,2,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","梅酒","","",380,1,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601190125000,,,,,,,,,,,,,,,,,,,,,,,,"サラダ","サーモンエビ巻サラダ","","",1000,1,0,0,-,0,6450F518CCDD4D40A13CF95CF9A3E955,
RB0120170601191537000,2017/06/01,20:17:26,14490,13680,1073,15000,0,0,0,0,0,0,0,0,510,0,-9,2,32,01:01:48,"テーブル2",0002,"中山","お造り","中トロ刺","","",1800,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,"未設定"
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","真つぶ貝刺","","",900,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","活たこ刺","","",780,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","赤身刺","","",780,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","カンパチ刺","","",780,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","銀だら照り焼","","",900,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","お新香盛り","","",650,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"ソフトドリンク","ウーロン茶","","",250,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,11,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,2,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,3,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"汁物","しじみ汁","","",280,2,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","ライチ酒","","",380,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601191537000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",1200,1,0,0,-,0,0A1A3EFFF266451094CA92A8A52EE784,
RB0120170601183528000,2017/06/01,20:33:34,55000,55000,4074,60000,0,0,0,0,0,0,0,0,5000,0,0,11,11,01:58:06,"大部屋2",0002,"中山","コース","寿(ことぶき)_飲み放題付","","",5000,11,0,0,-,0,630961275B014D8281C6E115781C6405,"未設定"
RB0120170601183432000,2017/06/01,20:43:55,13910,13070,1030,20010,0,0,0,0,0,0,0,0,6100,0,0,2,26,02:09:22,"テーブル1",0002,"中山","お造り","おまかせ刺身盛","","",2900,1,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,"未設定"
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","銀だら照り焼","","",900,1,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","かぶと焼","","",780,1,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","レンコンはさみ揚","","",650,1,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","イカうに焼","","",780,1,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"サラダ","シーフードサラダ","","",880,1,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,2,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"焼酎グラス","屋久島          ","","",550,2,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,2,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,6,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,2,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,2,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","緑茶ハイ","","",380,2,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601183432000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,42949CEB659B4CEEA361F9B334A4FEA9,
RB0120170601202513000,2017/06/01,21:03:38,7210,6680,534,0,0,0,0,0,0,0,0,7210,0,0,-4,2,10,00:38:24,"カウンター11，カウンター12",0002,"中山","にぎり","特上にぎり","","",1850,1,0,0,-,0,A4227DB27A6D4AB6BA2379A31181BAB7,"未設定"
RB0120170601202513000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","和牛あぶりにぎりセット","","",1150,1,0,0,-,0,A4227DB27A6D4AB6BA2379A31181BAB7,
RB0120170601202513000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","燗酒・冷や1合","","",380,1,0,0,-,0,A4227DB27A6D4AB6BA2379A31181BAB7,
RB0120170601202513000,,,,,,,,,,,,,,,,,,,,,,,,"割り物","割り物&BS","","",380,3,0,0,-,0,A4227DB27A6D4AB6BA2379A31181BAB7,
RB0120170601202513000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,A4227DB27A6D4AB6BA2379A31181BAB7,
RB0120170601202513000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","ヒレ酒","","",700,2,0,0,-,0,A4227DB27A6D4AB6BA2379A31181BAB7,
RB0120170601183510000,2017/06/01,21:06:14,35820,35820,2653,27860,0,0,0,0,0,0,0,7960,0,0,0,9,9,02:31:03,"大部屋1",0002,"中山","コース","和(なごみ)_飲み放題付","","",3980,9,0,0,-,0,7AD2AAC872334E3A838F807DBD8AE7B9,"未設定"
000220170601210936466,2017/06/01,21:09:47,7500,7500,555,7500,0,0,0,0,0,0,0,0,0,0,0,1,3,00:00:00,"伝票00020534",0002,"中山","出前","出前(特選にぎり)","","",2500,3,0,0,-,0,A9C7C4CBD1D8418DA8BDD90030D4C2CD,"未設定"
RB0320170601182929000,2017/06/01,21:17:35,17250,16300,1277,0,0,0,0,0,0,0,0,17250,0,0,-5,3,35,02:48:06,"テーブル6",0002,"中山","お造り","光物3点盛","","",1480,1,0,0,-,0,3E80C4169E3C4D9AB7304C546A2C5D42,"未設定"
RB0320170601182929000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","活たこ刺","","",780,1,0,0,-,0,3E80C4169E3C4D9AB7304C546A2C5D42,
RB0320170601182929000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","げそ七味焼","","",650,1,0,0,-,0,3E80C4169E3C4D9AB7304C546A2C5D42,
RB0320170601182929000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","かきバター焼","","",780,1,0,0,-,0,3E80C4169E3C4D9AB7304C546A2C5D42,
RB0320170601182929000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","いか塩辛","","",380,1,0,0,-,0,3E80C4169E3C4D9AB7304C546A2C5D42,
RB0320170601182929000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","お新香盛り","","",650,1,0,0,-,0,3E80C4169E3C4D9AB7304C546A2C5D42,
RB0320170601182929000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,3,0,0,-,0,3E80C4169E3C4D9AB7304C546A2C5D42,
