0000000000153,0013,"山崎・白州S     ",48100,0,326140
0000000000154,0013,"山崎・白州W     ",1800,0,24400
0000000000161,0014,"一番札          ",24400,0,134200
0000000000162,0014,"里の曙          ",3500,0,19250
0000000000163,0014,"黒霧島          ",17500,0,96250
0000000000164,0014,"赤兎馬          ",11300,0,73450
0000000000165,0014,"富乃            ",12600,0,81900
0000000000166,0014,"不知火ﾎﾞﾄﾙ      ",2400,0,115200
0000000000167,0014,"富乃ﾎﾞﾄﾙ        ",4800,0,230400
0000000000168,0014,"一番札ﾎﾞﾄﾙ      ",2400,0,72000
0000000000169,0014,"里の曙ﾎﾞﾄﾙ      ",500,0,15000
0000000000170,0014,"ｻｻﾞﾝﾎﾞﾄﾙ        ",4100,0,98400
0000000000171,0015,"サワー          ",298900,0,1255380
0000000000172,0015,"生ﾚﾓﾝ・ｸﾞﾚｰﾌﾟ   ",27900,0,153450
0000000000173,0015,"梅干しサワー    ",14600,0,75920
0000000000174,0016,"グラスワイン    ",9100,0,38220
0000000000175,0016,"ﾎﾞﾄﾙﾜｲﾝ赤白     ",1400,0,56000
0000000000176,0017,"ソフトドリンク  ",64400,0,206080
0000000000178,0018,"燗酒            ",64700,0,323500
0000000000179,0018,"生酒            ",9000,0,85500
0000000000180,0017,"ﾉﾝｱﾙｺｰﾙ         ",6200,0,27900
0000000000181,0018,"一乃蔵          ",34200,0,205200
0000000000182,0018,"菊水            ",11900,0,83300
0000000000183,0018,"上善            ",15800,0,134300
0000000000184,0018,"天狗舞          ",15900,0,135150
0000000000185,0018,"立山            ",15700,0,133450
0000000000186,0018,"〆張            ",9600,0,96000
0000000000187,0018,"浦霞            ",23300,0,233000
0000000000188,0018,"八海山          ",17800,0,178000
0000000000189,0018,"久保田          ",10000,0,100000
0000000000190,0018,"松島            ",11500,0,103500
0000000000191,0018,"循野川          ",7500,0,90000
0000000000192,0014,"赤兎馬ﾎﾞﾄﾙ      ",700,0,37800
0000000000193,0013,"ﾆｯｶS            ",24000,0,100800
0000000000194,0013,"ﾆｯｶW            ",1300,0,10920
0000000000195,0011,"ｾｯﾄ             ",35100,0,150930
0000000000196,0011,"割り物          ",34700,0,111040
0000000000197,0011,"梅干・ﾚﾓﾝ       ",7100,0,22720
0000000000198,0011,"折              ",19600,0,19600
000000,0145,"精算回数    ",0,2,0
