取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),交通系電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
000420171031154121104,2017/10/31,15:58:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00040000",0004,"中山","未設定","本日のお造り","","",0,1,0,0,-,0,2E51AF0C150840099CC30FBDA0ACF46A,"未設定"
000420171031155847846,2017/10/31,17:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00040001",0004,"方","未設定","本日のお造り","","",0,1,0,0,-,0,F96EC3D253A942558A26B7B7E8FE83DC,"未設定"
000420171031172741934,2017/10/31,18:55:29,1800,1800,133,0,0,0,0,0,0,0,0,1800,0,0,0,1,2,00:00:00,"伝票00040002",0004,"方","出前","コスモ","","",900,2,0,0,-,0,B828F1FA7E524AE2ACA041020920552F,"未設定"
RB0120171031172938000,2017/10/31,18:59:26,6210,5770,460,10300,0,0,0,0,0,0,0,0,4090,0,-1,2,10,01:29:48,"カウンター2，カウンター3",0004,"方","未設定","本日のお造り","","",1000,1,0,0,-,0,7BAE1606BE0F42FD8E58B4837C4958BA,"未設定"
RB0120171031172938000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のお造り","","",900,1,0,0,-,0,7BAE1606BE0F42FD8E58B4837C4958BA,
RB0120171031172938000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のお造り","","",500,1,0,0,-,0,7BAE1606BE0F42FD8E58B4837C4958BA,
RB0120171031172938000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,1,0,0,-,0,7BAE1606BE0F42FD8E58B4837C4958BA,
RB0120171031172938000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","本日のおすすめ","","",780,1,0,0,-,0,7BAE1606BE0F42FD8E58B4837C4958BA,
RB0120171031172938000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","本日のおすすめ","","",700,1,0,0,-,0,7BAE1606BE0F42FD8E58B4837C4958BA,
RB0120171031172938000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","アサヒ中瓶","","",500,1,0,0,-,0,7BAE1606BE0F42FD8E58B4837C4958BA,
RB0120171031172938000,,,,,,,,,,,,,,,,,,,,,,,,"速一品","お通し","","",380,2,0,0,-,0,7BAE1606BE0F42FD8E58B4837C4958BA,
RB0120171031172938000,,,,,,,,,,,,,,,,,,,,,,,,"割り物","割り物&BS","","",380,1,0,0,-,0,7BAE1606BE0F42FD8E58B4837C4958BA,
RB0220171031180449000,2017/10/31,19:14:16,6360,6000,471,0,0,0,0,0,0,0,0,6360,0,0,0,2,14,01:09:27,"カウンター5，カウンター6",0004,"方","未設定","本日のお造り","","",800,1,0,0,-,0,D805533E02814A2BBA489D7EC0096B53,"未設定"
RB0220171031180449000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のお造り","","",600,1,0,0,-,0,D805533E02814A2BBA489D7EC0096B53,
RB0220171031180449000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のお造り","","",300,1,0,0,-,0,D805533E02814A2BBA489D7EC0096B53,
RB0220171031180449000,,,,,,,,,,,,,,,,,,,,,,,,"未設定","本日のお造り","","",280,1,0,0,-,0,D805533E02814A2BBA489D7EC0096B53,
RB0220171031180449000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,1,0,0,-,0,D805533E02814A2BBA489D7EC0096B53,
RB0220171031180449000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,4,0,0,-,0,D805533E02814A2BBA489D7EC0096B53,
RB0220171031180449000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,1,0,0,-,0,D805533E02814A2BBA489D7EC0096B53,
RB0220171031180449000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","おすすめ日本酒","","",880,2,0,0,-,0,D805533E02814A2BBA489D7EC0096B53,
RB0220171031180449000,,,,,,,,,,,,,,,,,,,,,,,,"ウイスキー","フリージングハイボール","","",380,1,0,0,-,0,D805533E02814A2BBA489D7EC0096B53,
RB0220171031180449000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","ウーロンハイ","","",380,1,0,0,-,0,D805533E02814A2BBA489D7EC0096B53,
RB0120171031191304000,2017/10/31,19:49:24,5240,4860,388,0,0,0,0,0,0,0,0,5240,0,0,-8,2,5,00:36:20,"テーブル6",0004,"方","にぎり","おまかせ8貫","","",2500,1,0,0,-,0,E97FFCB1885D4915ADFCEB3EB4D8462C,"未設定"
RB0120171031191304000,,,,,,,,,,,,,,,,,,,,,,,,"汁物","しじみ汁","","",280,1,0,0,-,0,E97FFCB1885D4915ADFCEB3EB4D8462C,
RB0120171031191304000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","リブロースステーキ","","",1200,1,0,0,-,0,E97FFCB1885D4915ADFCEB3EB4D8462C,
RB0120171031191304000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,1,0,0,-,0,E97FFCB1885D4915ADFCEB3EB4D8462C,
RB0120171031191304000,,,,,,,,,,,,,,,,,,,,,,,,"速一品","お通し","","",380,1,0,0,-,0,E97FFCB1885D4915ADFCEB3EB4D8462C,
RB0120171031191316000,2017/10/31,19:52:54,8320,7710,616,10000,0,0,0,0,0,0,0,0,1680,0,-6,2,12,00:39:38,"テーブル1",0004,"方","未設定","本日のお造り","","",1300,1,0,0,-,0,F0ED0AD99065449EAC78D019DA3C8943,"未設定"
RB0120171031191316000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","しまあじ刺","","",800,1,0,0,-,0,F0ED0AD99065449EAC78D019DA3C8943,
RB0120171031191316000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","ほたて刺","","",800,1,0,0,-,0,F0ED0AD99065449EAC78D019DA3C8943,
RB0120171031191316000,,,,,,,,,,,,,,,,,,,,,,,,"速一品","かにみそ","","",650,1,0,0,-,0,F0ED0AD99065449EAC78D019DA3C8943,
RB0120171031191316000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","サザエ壺焼","","",900,1,0,0,-,0,F0ED0AD99065449EAC78D019DA3C8943,
RB0120171031191316000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","茶碗蒸し","","",500,1,0,0,-,0,F0ED0AD99065449EAC78D019DA3C8943,
RB0120171031191316000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","アサヒ中瓶","","",500,4,0,0,-,0,F0ED0AD99065449EAC78D019DA3C8943,
RB0120171031191316000,,,,,,,,,,,,,,,,,,,,,,,,"速一品","お通し","","",380,2,0,0,-,0,F0ED0AD99065449EAC78D019DA3C8943,
