取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
RB0120170501174353000,2017/05/01,18:55:36,11510,10770,852,20010,0,0,0,0,0,0,0,0,8500,0,-8,2,20,01:11:42,"カウンター2，カウンター3",0002,"中山","日本酒","麒麟山 吟醸辛口","","",880,1,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,"未設定"
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","リブロースステーキ","","",1200,1,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,4,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,2,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,1,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻450","","",450,1,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","エクストラゴールド","","",500,2,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","〆張鶴 吟醸酒","","",880,1,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",1400,1,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",900,1,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501174353000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",780,3,0,0,-,0,66BEC045BB50440C8F3E6A90F8AD9F15,
RB0120170501192543000,2017/05/01,19:39:31,1290,1200,95,1290,0,0,0,0,0,0,0,0,0,0,-6,1,2,00:13:48,"カウンター1",0002,"中山","にぎり","松にぎり","","",950,1,0,0,-,0,57E3B1D15A094DF789A8A12BDFE4D8C5,"未設定"
RB0120170501192543000,,,,,,,,,,,,,,,,,,,,,,,,"ソフトドリンク","オレンジジュース","","",250,1,0,0,-,0,57E3B1D15A094DF789A8A12BDFE4D8C5,
000220170501200422513,2017/05/01,20:04:35,900,900,66,0,0,0,0,0,0,0,0,900,0,0,0,1,1,00:00:00,"伝票00020310",0002,"中山","出前","コスモ","","",900,1,0,0,-,0,47BD45D80729455F9FF0771439C55F4A,"未設定"
