取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),交通系電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
RB0120170701175911000,2017/07/01,18:27:55,8970,8510,664,10000,0,0,0,0,0,0,0,0,1030,0,-4,3,26,00:28:43,"テーブル4",0002,"中山","ビール","生ビール","","",500,6,0,0,-,0,890E3F7EDC414F7F8744103EC2E67981,"未設定"
RB0120170701175911000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,8,0,0,-,0,890E3F7EDC414F7F8744103EC2E67981,
RB0120170701175911000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,3,0,0,-,0,890E3F7EDC414F7F8744103EC2E67981,
RB0120170701175911000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,1,0,0,-,0,890E3F7EDC414F7F8744103EC2E67981,
RB0120170701175911000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,1,0,0,-,0,890E3F7EDC414F7F8744103EC2E67981,
RB0120170701175911000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,1,0,0,-,0,890E3F7EDC414F7F8744103EC2E67981,
RB0120170701175911000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,4,0,0,-,0,890E3F7EDC414F7F8744103EC2E67981,
RB0120170701175911000,,,,,,,,,,,,,,,,,,,,,,,,"季節メニュー","本日のおすすめ","","",400,1,0,0,-,0,890E3F7EDC414F7F8744103EC2E67981,
RB0120170701175911000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",880,1,0,0,-,0,890E3F7EDC414F7F8744103EC2E67981,
RB0120170701182259000,2017/07/01,19:00:50,7240,6750,536,10040,0,0,0,0,0,0,0,0,2800,0,-4,2,11,00:37:50,"カウンター6，カウンター7",0002,"中山","焼き物","銀だら照り焼","","",900,1,0,0,-,0,FDD376C0784447E9A9189DEBAE101300,"未設定"
RB0120170701182259000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,1,0,0,-,0,FDD376C0784447E9A9189DEBAE101300,
RB0120170701182259000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,1,0,0,-,0,FDD376C0784447E9A9189DEBAE101300,
RB0120170701182259000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","ウーロンハイ","","",380,2,0,0,-,0,FDD376C0784447E9A9189DEBAE101300,
RB0120170701182259000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","生レモンサワー","","",480,1,0,0,-,0,FDD376C0784447E9A9189DEBAE101300,
RB0120170701182259000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,FDD376C0784447E9A9189DEBAE101300,
RB0120170701182259000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",1500,1,0,0,-,0,FDD376C0784447E9A9189DEBAE101300,
RB0120170701182259000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",1000,1,0,0,-,0,FDD376C0784447E9A9189DEBAE101300,
RB0120170701182259000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",780,1,0,0,-,0,FDD376C0784447E9A9189DEBAE101300,
RB0120170701184005000,2017/07/01,19:09:09,7890,7310,584,0,0,0,0,0,0,0,0,7890,0,0,-4,2,5,00:29:03,"カウンター4，カウンター5",0002,"中山","ソフトドリンク","コーラ","","",250,1,0,0,-,0,E2845FD1C10B431F8D6C1F9076E599ED,"未設定"
RB0120170701184005000,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","越乃景虎 名水仕込特別純米","","",680,1,0,0,-,0,E2845FD1C10B431F8D6C1F9076E599ED,
RB0120170701184005000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,1,0,0,-,0,E2845FD1C10B431F8D6C1F9076E599ED,
RB0120170701184005000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","板長おまかせ10貫","","",3000,2,0,0,-,0,E2845FD1C10B431F8D6C1F9076E599ED,
000220170701192537563,2017/07/01,19:25:43,3000,3000,222,3000,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00020099",0002,"中山","出前","出前3000","","",3000,1,0,0,-,0,E11078D911BE4EB59E1122272F3334FA,"未設定"
RB0120170701175909000,2017/07/01,19:42:35,13020,12280,964,15000,0,0,0,0,0,0,0,0,1980,0,-4,3,26,01:43:25,"テーブル3",0002,"中山","お造り","活たこ刺","","",780,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,"未設定"
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","活ほっき貝刺","","",780,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","レンコンはさみ揚","","",650,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,2,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,5,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻450","","",450,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"焼酎ボトル","いいちこ","","",2300,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"割り物","割り物&BS","","",380,5,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"サワー・カクテル","レモンサワー","","",380,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"ウイスキー","フリージングハイボール","","",380,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,3,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701175909000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",500,1,0,0,-,0,777FA338B59B423EAAEB5D2D574861EA,
RB0120170701180252000,2017/07/01,19:53:06,10850,10360,803,0,0,0,0,0,0,0,0,10850,0,0,-6,2,30,01:50:13,"カウンター1，カウンター2",0002,"中山","ビール","生ビール","","",500,7,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,"未設定"
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,4,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,4,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,1,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり260","","",260,2,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,4,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","手巻220","","",220,1,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,1,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻450","","",450,1,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"ウイスキー","フリージングハイボール","","",380,1,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701180252000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",780,2,0,0,-,0,29AF2B4127C34F8D9BD1936BBA52E9C4,
RB0120170701182309000,2017/07/01,20:00:18,7080,6560,524,10000,0,0,0,0,0,0,0,0,2920,0,-4,2,5,01:37:09,"カウンター14，カウンター15",0002,"中山","焼き物","大エビ塩焼","","",1200,1,0,0,-,0,EE62892E8A3F4036AC7A00D83B6A2073,"未設定"
RB0120170701182309000,,,,,,,,,,,,,,,,,,,,,,,,"ワイン","ボトル白1700","","",1700,1,0,0,-,0,EE62892E8A3F4036AC7A00D83B6A2073,
RB0120170701182309000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,EE62892E8A3F4036AC7A00D83B6A2073,
RB0120170701182309000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",2900,1,0,0,-,0,EE62892E8A3F4036AC7A00D83B6A2073,
RB0120170701184043000,2017/07/01,20:03:46,6910,6690,511,10010,0,0,0,0,0,0,0,0,3100,0,-3,2,26,01:23:03,"カウンター10，カウンター11",0002,"中山","ビール","グラス生","","",350,1,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,"未設定"
RB0120170701184043000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,1,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,
RB0120170701184043000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり130","","",130,4,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,
RB0120170701184043000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,4,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,
RB0120170701184043000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり220","","",220,2,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,
RB0120170701184043000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり80","","",80,4,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,
RB0120170701184043000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,4,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,
RB0120170701184043000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻250","","",250,2,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,
RB0120170701184043000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,2,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,
RB0120170701184043000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",780,1,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,
RB0120170701184043000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",400,1,0,0,-,0,B3068A5CBAB04976AE96F08693FCC052,
