取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),交通系電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
000320171231000512354,2018/01/04,17:02:54,5000,5000,370,5000,0,0,0,0,0,0,0,0,0,0,0,1,1,00:00:00,"伝票00030733",0003,"堀田 恵美","お土産","お好み(お土産)","","",5000,1,0,0,-,0,95379111435B4F988D32F953F8C6ECA2,"未設定"
000420171120154644959,2018/01/04,19:21:22,11080,11080,820,11080,0,0,0,0,0,0,0,0,0,0,0,1,11,00:00:00,"伝票00040001",0004,"永盛 義人","お造り","ひらめ薄造り","","",1500,1,0,0,-,0,DECB759AAF4343A8A6EC52BCA5CFE4FF,"未設定"
000420171120154644959,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",430,1,0,0,-,0,DECB759AAF4343A8A6EC52BCA5CFE4FF,
000420171120154644959,,,,,,,,,,,,,,,,,,,,,,,,"割り物","セット","","",420,1,0,0,-,0,DECB759AAF4343A8A6EC52BCA5CFE4FF,
000420171120154644959,,,,,,,,,,,,,,,,,,,,,,,,"割り物","割り物","","",320,1,0,0,-,0,DECB759AAF4343A8A6EC52BCA5CFE4FF,
000420171120154644959,,,,,,,,,,,,,,,,,,,,,,,,"ビール","瓶ビール","","",650,1,0,0,-,0,DECB759AAF4343A8A6EC52BCA5CFE4FF,
000420171120154644959,,,,,,,,,,,,,,,,,,,,,,,,"焼酎","不知火ボトル","","",4800,1,0,0,-,0,DECB759AAF4343A8A6EC52BCA5CFE4FF,
000420171120154644959,,,,,,,,,,,,,,,,,,,,,,,,"日本酒","燗酒(1合)","","",500,2,0,0,-,0,DECB759AAF4343A8A6EC52BCA5CFE4FF,
000420171120154644959,,,,,,,,,,,,,,,,,,,,,,,,"本日のおすすめ","本日のおすすめ","","",860,1,0,0,-,0,DECB759AAF4343A8A6EC52BCA5CFE4FF,
000420171120154644959,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻450","","",450,1,0,0,-,0,DECB759AAF4343A8A6EC52BCA5CFE4FF,
000420171120154644959,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻650","","",650,1,0,0,-,0,DECB759AAF4343A8A6EC52BCA5CFE4FF,
000420180104192128648,2018/01/04,19:24:05,9130,9130,676,9130,0,0,0,0,0,0,0,0,0,0,0,1,10,00:00:00,"伝票00040002",0004,"永盛 義人","焼き物","穴子白焼","","",1400,1,0,0,-,0,14A9AEF4CA804751A02776819DC23768,"未設定"
000420180104192128648,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","茶碗蒸し","","",640,1,0,0,-,0,14A9AEF4CA804751A02776819DC23768,
000420180104192128648,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",430,1,0,0,-,0,14A9AEF4CA804751A02776819DC23768,
000420180104192128648,,,,,,,,,,,,,,,,,,,,,,,,"サラダ","シーフードサラダ","ハーフサイズ","",640,1,0,0,-,0,14A9AEF4CA804751A02776819DC23768,
000420180104192128648,,,,,,,,,,,,,,,,,,,,,,,,"ビール","中生","","",600,1,0,0,-,0,14A9AEF4CA804751A02776819DC23768,
000420180104192128648,,,,,,,,,,,,,,,,,,,,,,,,"ソフトドリンク","ソフトドリンク","","",340,3,0,0,-,0,14A9AEF4CA804751A02776819DC23768,
000420180104192128648,,,,,,,,,,,,,,,,,,,,,,,,"本日のおすすめ","本日のおすすめ","","",970,1,0,0,-,0,14A9AEF4CA804751A02776819DC23768,
000420180104192128648,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","お好み","","",3430,1,0,0,-,0,14A9AEF4CA804751A02776819DC23768,
RB0420180104191610000,2018/01/04,20:06:50,7520,7520,557,7520,0,0,0,0,0,0,0,0,0,0,0,2,8,00:50:40,"テーブル6",0003,"堀田 恵美","汁物","あら汁","","",370,2,0,0,-,0,C24B4A7574D5485F856FFE694482A9D4,"未設定"
RB0420180104191610000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","銀ダラ照り焼","","",1350,2,0,0,-,0,C24B4A7574D5485F856FFE694482A9D4,
RB0420180104191610000,,,,,,,,,,,,,,,,,,,,,,,,"焼き物","かきバター焼","","",950,1,0,0,-,0,C24B4A7574D5485F856FFE694482A9D4,
RB0420180104191610000,,,,,,,,,,,,,,,,,,,,,,,,"一品料理","お通し","","",430,1,0,0,-,0,C24B4A7574D5485F856FFE694482A9D4,
RB0420180104191610000,,,,,,,,,,,,,,,,,,,,,,,,"サワー","サワー","","",450,1,0,0,-,0,C24B4A7574D5485F856FFE694482A9D4,
RB0420180104191610000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","お好み","","",2250,1,0,0,-,0,C24B4A7574D5485F856FFE694482A9D4,
